Column1;Команда №1;Команда №2;Счёт
;Шинник;Локомотив;1 : 3
;Ростов;Крылья Советов;2 : 2
;Зенит;ЦСКА;0 : 0
;ФК Москва;Торпедо М;1 : 1
;Динамо;Рубин;2 : 2
;Спартак;Cатурн;1 : 1
;Локомотив;Томь;1 : 1
;Луч-Энергия;Ростов;4 : 2
;ЦСКА;Крылья Советов;1 : 1
;Спартак Нч;Амкар;2 : 1
;Зенит;Торпедо М;2 : 1
;ФК Москва;Динамо;1 : 1
;Рубин;Шинник;0 : 0
;Амкар;Спартак;1 : 3
;Торпедо М;ЦСКА;2 : 2
;Cатурн;Локомотив;1 : 1
;Томь;Рубин;4 : 0
;Шинник;ФК Москва;1 : 2
;Динамо;Зенит;2 : 2
;Крылья Советов;Луч-Энергия;2 : 1
;Ростов;Спартак Нч;2 : 1
;ЦСКА;Луч-Энергия;2 : 1
;Торпедо М;Динамо;3 : 0
;Спартак;Ростов;5 : 2
;Рубин;Cатурн;0 : 3
;Зенит;Шинник;1 : 0
;Локомотив;Амкар;0 : 0
;ФК Москва;Томь;0 : 0
;Спартак Нч;Крылья Советов;1 : 1
;Томь;Зенит;2 : 2
;Cатурн;ФК Москва;1 : 1
;Луч-Энергия;Спартак Нч;1 : 0
;Динамо;ЦСКА;2 : 3
;Амкар;Рубин;0 : 0
;Спартак;Крылья Советов;3 : 2
;Шинник;Торпедо М;1 : 1
;Ростов;Локомотив;1 : 2
;Луч-Энергия;Спартак;1 : 0
;ЦСКА;Спартак Нч;2 : 1
;Шинник;Динамо;1 : 2
;Крылья Советов;Локомотив;1 : 2
;Томь;Торпедо М;0 : 0
;Амкар;ФК Москва;2 : 2
;Cатурн;Зенит;0 : 0
;Ростов;Рубин;2 : 1
;Торпедо М;Cатурн;0 : 3
;Локомотив;Луч-Энергия;3 : 0
;Спартак;Спартак Нч;1 : 0
;ФК Москва;Ростов;4 : 0
;Шинник;ЦСКА;0 : 1
;Динамо;Томь;2 : 1
;Рубин;Крылья Советов;2 : 1
;Зенит;Амкар;2 : 0
;ЦСКА;Спартак;2 : 2
;Амкар;Торпедо М;1 : 0
;Крылья Советов;ФК Москва;0 : 4
;Томь;Шинник;3 : 1
;Ростов;Зенит;1 : 3
;Спартак Нч;Локомотив;0 : 1
;Cатурн;Динамо;3 : 0
;Луч-Энергия;Рубин;2 : 1
;Луч-Энергия;ФК Москва;1 : 1
;Шинник;Cатурн;0 : 0
;Торпедо М;Ростов;0 : 2
;Локомотив;Спартак;0 : 0
;Томь;ЦСКА;0 : 1
;Зенит;Крылья Советов;1 : 0
;Динамо;Амкар;0 : 0
;Рубин;Спартак Нч;0 : 0
;ЦСКА;Локомотив;1 : 2
;Ростов;Динамо;2 : 1
;Спартак;Рубин;3 : 0
;Луч-Энергия;Зенит;0 : 2
;Амкар;Шинник;1 : 0
;Крылья Советов;Торпедо М;2 : 0
;Спартак Нч;ФК Москва;2 : 2
;Cатурн;Томь;2 : 1
;Шинник;Ростов;1 : 6
;Томь;Амкар;1 : 3
;ФК Москва;Спартак;3 : 3
;Зенит;Спартак Нч;4 : 0
;Динамо;Крылья Советов;1 : 1
;Cатурн;ЦСКА;2 : 2
;Торпедо М;Луч-Энергия;2 : 1
;Рубин;Локомотив;2 : 4
;Луч-Энергия;Динамо;3 : 1
;Спартак;Зенит;1 : 0
;Амкар;Cатурн;1 : 0
;Спартак Нч;Торпедо М;0 : 0
;ЦСКА;Рубин;2 : 1
;Локомотив;ФК Москва;0 : 1
;Ростов;Томь;2 : 1
;Крылья Советов;Шинник;2 : 0
;Динамо;Спартак Нч;1 : 0
;Шинник;Луч-Энергия;1 : 3
;Амкар;ЦСКА;0 : 0
;Cатурн;Ростов;0 : 0
;Томь;Крылья Советов;2 : 1
;ФК Москва;Рубин;0 : 5
;Зенит;Локомотив;4 : 1
;Торпедо М;Спартак;1 : 1
;Спартак Нч;Шинник;2 : 1
;Луч-Энергия;Томь;2 : 1
;Ростов;Амкар;1 : 1
;Крылья Советов;Cатурн;0 : 0
;ЦСКА;ФК Москва;2 : 1
;Рубин;Зенит;3 : 0
;Спартак;Динамо;3 : 2
;Локомотив;Торпедо М;0 : 0
;Ростов;ЦСКА;1 : 2
;Шинник;Спартак;1 : 1
;Динамо;Локомотив;2 : 0
;Зенит;ФК Москва;1 : 1
;Томь;Спартак Нч;1 : 0
;Амкар;Крылья Советов;1 : 0
;Торпедо М;Рубин;1 : 2
;Cатурн;Луч-Энергия;1 : 0
;Луч-Энергия;Амкар;3 : 1
;Торпедо М;ФК Москва;0 : 2
;Крылья Советов;Ростов;1 : 0
;Спартак;Томь;3 : 1
;ЦСКА;Зенит;1 : 0
;Рубин;Динамо;0 : 1
;Спартак Нч;Cатурн;2 : 0
;Локомотив;Шинник;1 : 0
;Ростов;Луч-Энергия;1 : 0
;Томь;Локомотив;3 : 1
;Амкар;Спартак Нч;1 : 0
;Крылья Советов;ЦСКА;2 : 0
;Шинник;Рубин;1 : 5
;Торпедо М;Зенит;1 : 2
;Динамо;ФК Москва;1 : 1
;Cатурн;Спартак;1 : 1
;Динамо;Торпедо М;2 : 1
;Шинник;Зенит;1 : 2
;Томь;ФК Москва;1 : 0
;Cатурн;Рубин;1 : 2
;Амкар;Локомотив;1 : 3
;Ростов;Спартак;3 : 4
;Крылья Советов;Спартак Нч;1 : 2
;Луч-Энергия;ЦСКА;0 : 4
;Торпедо М;Шинник;1 : 1
;ЦСКА;Динамо;1 : 2
;Локомотив;Ростов;1 : 0
;Рубин;Амкар;1 : 0
;ФК Москва;Cатурн;2 : 1
;Зенит;Томь;0 : 0
;Крылья Советов;Спартак;0 : 1
;Спартак Нч;Луч-Энергия;0 : 0
;Луч-Энергия;ФК Москва;0 : 1
;Томь;Спартак Нч;2 : 0
;Крылья Советов;Химки;1 : 0
;Зенит;Cатурн;1 : 1
;ЦСКА;Рубин;3 : 1
;Динамо;Спартак;0 : 1
;Амкар;Ростов;3 : 1
;Кубань;Локомотив;0 : 0
;Химки;Кубань;1 : 0
;ФК Москва;Томь;2 : 0
;Спартак Нч;Крылья Советов;0 : 0
;Локомотив;Рубин;2 : 1
;Динамо;ЦСКА;1 : 1
;Ростов;Зенит;2 : 3
;Cатурн;Луч-Энергия;0 : 1
;Спартак;Амкар;0 : 0
;Зенит;Спартак;1 : 3
;Томь;Cатурн;1 : 1
;Амкар;Динамо;1 : 1
;Крылья Советов;ФК Москва;0 : 0
;ЦСКА;Локомотив;2 : 0
;Рубин;Химки;2 : 1
;Луч-Энергия;Ростов;1 : 1
;Кубань;Спартак Нч;2 : 2
;Динамо;Локомотив;2 : 1
;Cатурн;Крылья Советов;1 : 1
;ФК Москва;Кубань;1 : 0
;Химки;ЦСКА;1 : 1
;Амкар;Зенит;1 : 1
;Ростов;Томь;2 : 2
;Спартак Нч;Рубин;1 : 0
;Спартак;Луч-Энергия;2 : 1
;Кубань;Cатурн;2 : 2
;Луч-Энергия;Амкар;1 : 0
;Зенит;Динамо;3 : 0
;Крылья Советов;Ростов;0 : 1
;Рубин;ФК Москва;1 : 1
;Локомотив;Химки;1 : 0
;ЦСКА;Спартак Нч;2 : 0
;Томь;Спартак;1 : 1
;Ростов;Кубань;0 : 1
;Амкар;Томь;3 : 3
;Cатурн;Рубин;1 : 0
;Динамо;Химки;2 : 1
;Луч-Энергия;Зенит;0 : 1
;ФК Москва;ЦСКА;2 : 1
;Спартак;Крылья Советов;1 : 0
;Спартак Нч;Локомотив;0 : 0
;Луч-Энергия;Динамо;0 : 1
;Томь;Зенит;0 : 1
;Химки;Спартак Нч;1 : 0
;Локомотив;ФК Москва;1 : 1
;ЦСКА;Cатурн;3 : 1
;Крылья Советов;Амкар;1 : 0
;Рубин;Ростов;0 : 0
;Кубань;Спартак;0 : 0
;Луч-Энергия;Томь;0 : 0
;Амкар;Кубань;0 : 0
;Cатурн;Локомотив;1 : 1
;ФК Москва;Химки;0 : 2
;Динамо;Спартак Нч;2 : 0
;Зенит;Крылья Советов;1 : 1
;Спартак;Рубин;2 : 1
;Ростов;ЦСКА;1 : 1
;Томь;Динамо;1 : 0
;ЦСКА;Спартак;1 : 1
;Крылья Советов;Луч-Энергия;3 : 0
;Спартак Нч;ФК Москва;1 : 0
;Химки;Cатурн;0 : 0
;Рубин;Амкар;1 : 0
;Локомотив;Ростов;2 : 0
;Кубань;Зенит;1 : 1
;Спартак;Локомотив;1 : 2
;Ростов;Химки;1 : 1
;Cатурн;Спартак Нч;1 : 1
;Кубань;Луч-Энергия;1 : 1
;Зенит;Рубин;2 : 1
;Амкар;ЦСКА;1 : 1
;Томь;Крылья Советов;1 : 2
;Динамо;ФК Москва;0 : 0
;Химки;Спартак;3 : 0
;Рубин;Луч-Энергия;3 : 0
;ЦСКА;Зенит;2 : 0
;Крылья Советов;Динамо;3 : 2
;Кубань;Томь;2 : 1
;Спартак Нч;Ростов;0 : 0
;Локомотив;Амкар;0 : 1
;ФК Москва;Cатурн;3 : 2
;Томь;Рубин;2 : 0
;Амкар;Химки;3 : 1
;Крылья Советов;Кубань;2 : 3
;Луч-Энергия;ЦСКА;4 : 0
;Спартак;Спартак Нч;2 : 2
;Динамо;Cатурн;1 : 1
;Ростов;ФК Москва;1 : 1
;Зенит;Локомотив;1 : 1
;Луч-Энергия;Локомотив;3 : 0
;ЦСКА;Томь;0 : 0
;Химки;Зенит;2 : 2
;Cатурн;Ростов;1 : 0
;Рубин;Крылья Советов;1 : 0
;Спартак Нч;Амкар;0 : 1
;ФК Москва;Спартак;2 : 0
;Кубань;Динамо;0 : 4
;Спартак;Cатурн;2 : 0
;Луч-Энергия;Химки;1 : 1
;Динамо;Ростов;3 : 0
;Кубань;Рубин;0 : 1
;Томь;Локомотив;4 : 2
;Крылья Советов;ЦСКА;1 : 0
;Амкар;ФК Москва;1 : 1
;Зенит;Спартак Нч;4 : 3
;Cатурн;Амкар;2 : 0
;Локомотив;Крылья Советов;5 : 2
;Спартак Нч;Луч-Энергия;2 : 0
;ФК Москва;Зенит;0 : 3
;ЦСКА;Кубань;0 : 0
;Химки;Томь;1 : 1
;Рубин;Динамо;2 : 1
;Ростов;Спартак;1 : 3
;Луч-Энергия;Cатурн;2 : 1
;ЦСКА;Динамо;0 : 1
;Амкар;Спартак;0 : 1
;Кубань;Химки;1 : 1
;Томь;ФК Москва;1 : 2
;Крылья Советов;Спартак Нч;1 : 2
;Зенит;Ростов;2 : 0
;Рубин;Локомотив;3 : 0
;Химки;Локомотив;1 : 2
;Cатурн;Кубань;2 : 0
;Динамо;Зенит;4 : 2
;Амкар;Луч-Энергия;1 : 0
;Ростов;Крылья Советов;1 : 1
;ФК Москва;Рубин;2 : 1
;Спартак;Томь;3 : 2
;Спартак Нч;ЦСКА;1 : 1
;Динамо;Амкар;0 : 0
;Спартак;Зенит;3 : 1
;Cатурн;Томь;0 : 0
;ФК Москва;Крылья Советов;3 : 1
;Ростов;Луч-Энергия;1 : 1
;Локомотив;ЦСКА;1 : 2
;Спартак Нч;Кубань;1 : 0
;Химки;Рубин;0 : 0
;Луч-Энергия;Спартак;1 : 1
;Зенит;Амкар;0 : 0
;Локомотив;Динамо;2 : 2
;Томь;Ростов;1 : 1
;Крылья Советов;Cатурн;0 : 1
;ЦСКА;Химки;0 : 0
;Кубань;ФК Москва;4 : 1
;Рубин;Спартак Нч;2 : 1
;Зенит;Луч-Энергия;3 : 1
;Крылья Советов;Спартак;0 : 2
;Локомотив;Спартак Нч;3 : 1
;Химки;Динамо;1 : 0
;ЦСКА;ФК Москва;2 : 0
;Томь;Амкар;0 : 1
;Рубин;Cатурн;0 : 1
;Кубань;Ростов;1 : 0
;Cатурн;ЦСКА;2 : 2
;Амкар;Крылья Советов;4 : 1
;Динамо;Луч-Энергия;1 : 0
;Спартак Нч;Химки;1 : 1
;Спартак;Кубань;4 : 0
;ФК Москва;Локомотив;1 : 2
;Зенит;Томь;2 : 1
;Ростов;Рубин;1 : 1
;Локомотив;Cатурн;0 : 2
;Томь;Луч-Энергия;3 : 1
;Рубин;Спартак;3 : 1
;Крылья Советов;Зенит;1 : 3
;ЦСКА;Ростов;4 : 0
;Химки;ФК Москва;1 : 3
;Кубань;Амкар;1 : 1
;Спартак Нч;Динамо;4 : 1
;Динамо;Томь;3 : 1
;ФК Москва;Спартак Нч;1 : 0
;Луч-Энергия;Крылья Советов;0 : 0
;Амкар;Рубин;2 : 1
;Cатурн;Химки;1 : 0
;Спартак;ЦСКА;1 : 1
;Зенит;Кубань;1 : 0
;Ростов;Локомотив;0 : 2
;Химки;Ростов;1 : 0
;Луч-Энергия;Кубань;1 : 0
;ФК Москва;Динамо;4 : 1
;Спартак Нч;Cатурн;1 : 3
;Локомотив;Спартак;4 : 3
;Крылья Советов;Томь;1 : 1
;ЦСКА;Амкар;1 : 0
;Рубин;Зенит;1 : 4
;Луч-Энергия;Рубин;2 : 0
;Зенит;ЦСКА;2 : 1
;Спартак;Химки;2 : 0
;Амкар;Локомотив;1 : 0
;Томь;Кубань;2 : 0
;Cатурн;ФК Москва;0 : 0
;Динамо;Крылья Советов;1 : 1
;Ростов;Спартак Нч;0 : 1
;ФК Москва;Ростов;1 : 0
;Химки;Амкар;1 : 0
;Cатурн;Динамо;2 : 1
;Кубань;Крылья Советов;3 : 2
;Локомотив;Зенит;1 : 0
;ЦСКА;Луч-Энергия;4 : 0
;Рубин;Томь;1 : 3
;Спартак Нч;Спартак;1 : 2
;Спартак;ФК Москва;3 : 1
;Томь;ЦСКА;0 : 1
;Локомотив;Луч-Энергия;1 : 1
;Амкар;Спартак Нч;1 : 1
;Крылья Советов;Рубин;3 : 0
;Зенит;Химки;4 : 1
;Ростов;Cатурн;1 : 3
;Динамо;Кубань;1 : 0
;Химки;Луч-Энергия;3 : 0
;ФК Москва;Амкар;3 : 1
;Ростов;Динамо;0 : 0
;Рубин;Кубань;2 : 2
;Cатурн;Спартак;0 : 0
;ЦСКА;Крылья Советов;4 : 2
;Локомотив;Томь;0 : 0
;Спартак Нч;Зенит;0 : 3
;Динамо;Рубин;0 : 1
;Амкар;Cатурн;3 : 1
;Зенит;ФК Москва;1 : 0
;Луч-Энергия;Спартак Нч;2 : 1
;Томь;Химки;3 : 1
;Крылья Советов;Локомотив;3 : 1
;Кубань;ЦСКА;0 : 1
;Спартак;Ростов;3 : 0
;Рубин;ЦСКА;0 : 1
;Локомотив;Кубань;2 : 3
;Химки;Крылья Советов;4 : 1
;Спартак Нч;Томь;1 : 0
;ФК Москва;Луч-Энергия;3 : 1
;Cатурн;Зенит;0 : 1
;Ростов;Амкар;2 : 0
;Спартак;Динамо;2 : 1
;Терек;Крылья Советов;0 : 3
;ЦСКА;Шинник;1 : 1
;Химки;Амкар;0 : 3
;Спартак Нч;Cатурн;2 : 1
;Луч-Энергия;ФК Москва;1 : 1
;Томь;Динамо;0 : 0
;Зенит;Спартак;0 : 0
;Локомотив;Рубин;0 : 1
;Крылья Советов;ЦСКА;0 : 2
;Шинник;Локомотив;1 : 2
;Спартак;Томь;1 : 0
;Cатурн;Терек;3 : 1
;Рубин;Луч-Энергия;1 : 0
;ФК Москва;Зенит;0 : 2
;Динамо;Химки;2 : 0
;Спартак Нч;Амкар;0 : 1
;Луч-Энергия;Шинник;1 : 0
;Томь;ФК Москва;2 : 1
;Химки;Спартак;3 : 3
;Терек;Спартак Нч;2 : 1
;Амкар;Динамо;1 : 2
;ЦСКА;Cатурн;1 : 0
;Зенит;Рубин;1 : 3
;Локомотив;Крылья Советов;2 : 0
;ФК Москва;Химки;2 : 2
;Терек;ЦСКА;1 : 0
;Cатурн;Локомотив;1 : 2
;Рубин;Томь;2 : 1
;Крылья Советов;Луч-Энергия;2 : 1
;Шинник;Зенит;2 : 2
;Спартак;Амкар;1 : 1
;Спартак Нч;Динамо;0 : 2
;Томь;Шинник;2 : 1
;Амкар;ФК Москва;2 : 0
;ЦСКА;Спартак Нч;0 : 1
;Химки;Рубин;0 : 4
;Луч-Энергия;Cатурн;0 : 0
;Зенит;Крылья Советов;1 : 1
;Динамо;Спартак;4 : 3
;Локомотив;Терек;2 : 0
;Шинник;Химки;3 : 2
;Крылья Советов;Томь;3 : 0
;ФК Москва;Динамо;1 : 1
;Cатурн;Зенит;1 : 1
;Спартак Нч;Спартак;1 : 2
;Рубин;Амкар;1 : 0
;ЦСКА;Локомотив;0 : 0
;Терек;Луч-Энергия;2 : 1
;Динамо;Рубин;0 : 2
;Луч-Энергия;ЦСКА;1 : 3
;Амкар;Шинник;2 : 0
;Химки;Крылья Советов;1 : 0
;Томь;Cатурн;0 : 1
;Спартак;ФК Москва;1 : 1
;Локомотив;Спартак Нч;0 : 0
;Зенит;Терек;3 : 1
;Крылья Советов;Амкар;2 : 0
;Рубин;Спартак;0 : 3
;Шинник;Динамо;2 : 0
;Спартак Нч;ФК Москва;0 : 3
;Cатурн;Химки;2 : 2
;Терек;Томь;1 : 3
;Локомотив;Луч-Энергия;2 : 2
;ЦСКА;Зенит;0 : 0
;Спартак;Шинник;4 : 2
;ФК Москва;Рубин;1 : 2
;Луч-Энергия;Спартак Нч;0 : 2
;Томь;ЦСКА;0 : 0
;Амкар;Cатурн;1 : 0
;Химки;Терек;0 : 1
;Динамо;Крылья Советов;2 : 2
;Зенит;Локомотив;1 : 1
;Шинник;ФК Москва;0 : 1
;Спартак Нч;Рубин;2 : 0
;Локомотив;Томь;2 : 0
;Cатурн;Динамо;2 : 0
;Крылья Советов;Спартак;1 : 1
;ЦСКА;Химки;4 : 3
;Терек;Амкар;0 : 1
;Луч-Энергия;Зенит;0 : 0
;Томь;Луч-Энергия;1 : 1
;Рубин;Шинник;1 : 1
;Спартак;Cатурн;1 : 0
;ФК Москва;Крылья Советов;1 : 1
;Химки;Локомотив;2 : 2
;Динамо;Терек;2 : 1
;Зенит;Спартак Нч;3 : 4
;Амкар;ЦСКА;3 : 3
;Луч-Энергия;Химки;1 : 1
;Крылья Советов;Рубин;2 : 2
;Спартак Нч;Шинник;2 : 1
;Терек;Спартак;3 : 1
;ЦСКА;Динамо;0 : 2
;Зенит;Томь;5 : 1
;Локомотив;Амкар;0 : 1
;Cатурн;ФК Москва;0 : 0
;Амкар;Луч-Энергия;2 : 0
;Спартак;ЦСКА;1 : 5
;Шинник;Крылья Советов;0 : 0
;Томь;Спартак Нч;1 : 0
;Динамо;Локомотив;4 : 2
;ФК Москва;Терек;0 : 0
;Химки;Зенит;1 : 4
;Рубин;Cатурн;0 : 0
;Локомотив;Спартак;2 : 2
;Томь;Химки;3 : 1
;Спартак Нч;Крылья Советов;1 : 1
;Зенит;Амкар;2 : 0
;Луч-Энергия;Динамо;1 : 0
;ЦСКА;ФК Москва;0 : 2
;Терек;Рубин;0 : 0
;Cатурн;Шинник;4 : 0
;Химки;Спартак Нч;2 : 0
;Рубин;ЦСКА;0 : 0
;Динамо;Зенит;1 : 0
;Амкар;Томь;0 : 0
;ФК Москва;Локомотив;0 : 3
;Спартак;Луч-Энергия;3 : 0
;Шинник;Терек;1 : 1
;Крылья Советов;Cатурн;4 : 0
;Томь;Спартак;0 : 1
;Зенит;ФК Москва;2 : 1
;Химки;Динамо;1 : 1
;Луч-Энергия;Рубин;1 : 1
;Амкар;Спартак Нч;0 : 0
;Терек;Cатурн;1 : 0
;ЦСКА;Крылья Советов;0 : 0
;Локомотив;Шинник;3 : 0
;Крылья Советов;Локомотив;2 : 0
;Шинник;Луч-Энергия;1 : 2
;Спартак;Химки;1 : 1
;ФК Москва;Томь;2 : 1
;Cатурн;ЦСКА;0 : 4
;Динамо;Амкар;1 : 0
;Рубин;Зенит;4 : 1
;Спартак Нч;Терек;2 : 0
;Томь;Рубин;1 : 2
;Луч-Энергия;Крылья Советов;0 : 0
;Динамо;Спартак Нч;1 : 0
;Локомотив;Cатурн;0 : 0
;Химки;ФК Москва;0 : 2
;Амкар;Спартак;1 : 1
;ЦСКА;Терек;2 : 0
;Зенит;Шинник;1 : 3
;Рубин;Химки;2 : 0
;Шинник;Томь;0 : 1
;Спартак;Динамо;1 : 1
;Терек;Локомотив;2 : 1
;Крылья Советов;Зенит;0 : 3
;Cатурн;Луч-Энергия;2 : 1
;Спартак Нч;ЦСКА;0 : 0
;ФК Москва;Амкар;0 : 1
;Химки;Шинник;0 : 0
;Локомотив;ЦСКА;0 : 2
;Луч-Энергия;Терек;1 : 1
;Томь;Крылья Советов;0 : 4
;Амкар;Рубин;1 : 2
;Динамо;ФК Москва;1 : 1
;Спартак;Спартак Нч;2 : 1
;Зенит;Cатурн;2 : 2
;ФК Москва;Спартак;2 : 1
;Терек;Зенит;1 : 4
;Cатурн;Томь;2 : 0
;Крылья Советов;Химки;3 : 0
;Рубин;Динамо;1 : 0
;Шинник;Амкар;1 : 2
;Спартак Нч;Локомотив;0 : 1
;ЦСКА;Луч-Энергия;4 : 1
;Луч-Энергия;Локомотив;2 : 3
;Химки;Cатурн;2 : 1
;Амкар;Крылья Советов;1 : 0
;Динамо;Шинник;2 : 0
;Томь;Терек;2 : 0
;Зенит;ЦСКА;1 : 3
;Спартак;Рубин;0 : 1
;ФК Москва;Спартак Нч;1 : 3
;Крылья Советов;Динамо;3 : 3
;Шинник;Спартак;1 : 2
;Локомотив;Зенит;0 : 3
;Спартак Нч;Луч-Энергия;2 : 2
;ЦСКА;Томь;2 : 1
;Cатурн;Амкар;0 : 0
;Рубин;ФК Москва;0 : 1
;Терек;Химки;1 : 0
;Томь;Локомотив;0 : 1
;Динамо;Cатурн;2 : 1
;Рубин;Спартак Нч;3 : 0
;Амкар;Терек;0 : 0
;Химки;ЦСКА;1 : 2
;Спартак;Крылья Советов;0 : 1
;Зенит;Луч-Энергия;8 : 1
;ФК Москва;Шинник;2 : 1
;Луч-Энергия;Томь;0 : 0
;Шинник;Рубин;0 : 2
;Спартак Нч;Зенит;2 : 2
;Cатурн;Спартак;0 : 0
;Терек;Динамо;0 : 0
;ЦСКА;Амкар;4 : 1
;Крылья Советов;ФК Москва;1 : 1
;Локомотив;Химки;0 : 2
;Химки;Луч-Энергия;3 : 1
;Рубин;Крылья Советов;3 : 0
;Спартак;Терек;3 : 1
;Шинник;Спартак Нч;2 : 1
;Амкар;Локомотив;0 : 0
;Томь;Зенит;1 : 1
;ФК Москва;Cатурн;0 : 0
;Динамо;ЦСКА;1 : 3
;ЦСКА;Спартак;0 : 1
;Зенит;Химки;1 : 0
;Луч-Энергия;Амкар;0 : 1
;Cатурн;Рубин;1 : 2
;Спартак Нч;Томь;1 : 1
;Терек;ФК Москва;1 : 1
;Крылья Советов;Шинник;4 : 0
;Локомотив;Динамо;0 : 1
;Химки;Томь;1 : 1
;Крылья Советов;Спартак Нч;2 : 0
;Шинник;Cатурн;0 : 1
;Амкар;Зенит;1 : 1
;Спартак;Локомотив;0 : 1
;Динамо;Луч-Энергия;2 : 0
;Рубин;Терек;1 : 3
;ФК Москва;ЦСКА;1 : 4
;Cатурн;Крылья Советов;0 : 0
;Спартак Нч;Химки;1 : 2
;Терек;Шинник;0 : 0
;ЦСКА;Рубин;4 : 0
;Локомотив;ФК Москва;3 : 2
;Луч-Энергия;Спартак;2 : 2
;Зенит;Динамо;1 : 1
;Томь;Амкар;0 : 1
;Амкар;Химки;3 : 1
;Динамо;Томь;2 : 0
;Спартак;Зенит;1 : 3
;ФК Москва;Луч-Энергия;3 : 0
;Рубин;Локомотив;1 : 2
;Шинник;ЦСКА;1 : 0
;Крылья Советов;Терек;4 : 3
;Cатурн;Спартак Нч;1 : 1
;Амкар;Ростов;0 : 0
;Динамо;ФК Москва;1 : 0
;Локомотив;Химки;1 : 1
;Рубин;Кубань;3 : 0
;Спартак;Зенит;1 : 1
;Томь;Крылья Советов;0 : 1
;Cатурн;ЦСКА;0 : 3
;Терек;Спартак Нч;1 : 0
;Крылья Советов;Амкар;1 : 0
;Кубань;Спартак;1 : 0
;Динамо;Химки;3 : 2
;ФК Москва;Терек;0 : 0
;Зенит;Cатурн;2 : 1
;Спартак Нч;Рубин;0 : 0
;Ростов;Локомотив;1 : 1
;ЦСКА;Томь;0 : 1
;Химки;Ростов;0 : 1
;Терек;Динамо;1 : 0
;Рубин;ФК Москва;0 : 0
;Cатурн;Кубань;2 : 1
;Томь;Зенит;0 : 3
;Локомотив;Крылья Советов;2 : 1
;Амкар;ЦСКА;0 : 0
;Спартак;Спартак Нч;2 : 0
;Крылья Советов;Химки;3 : 0
;ФК Москва;Спартак;3 : 1
;Терек;Рубин;1 : 2
;Динамо;Ростов;1 : 0
;Кубань;Томь;0 : 0
;ЦСКА;Локомотив;4 : 1
;Зенит;Амкар;0 : 0
;Спартак Нч;Cатурн;1 : 1
;Томь;Спартак Нч;1 : 0
;Cатурн;ФК Москва;0 : 1
;Спартак;Терек;2 : 0
;Ростов;Крылья Советов;0 : 0
;Амкар;Кубань;1 : 0
;Локомотив;Зенит;1 : 1
;Химки;ЦСКА;0 : 3
;Рубин;Динамо;3 : 0
;Рубин;Спартак;0 : 2
;Динамо;Крылья Советов;0 : 1
;Зенит;Химки;4 : 2
;Терек;Cатурн;1 : 1
;ФК Москва;Томь;2 : 1
;ЦСКА;Ростов;1 : 2
;Спартак Нч;Амкар;4 : 1
;Кубань;Локомотив;1 : 0
;Томь;Терек;2 : 1
;Спартак;Динамо;0 : 2
;Амкар;ФК Москва;0 : 1
;Cатурн;Рубин;0 : 5
;Крылья Советов;ЦСКА;1 : 3
;Ростов;Зенит;2 : 1
;Локомотив;Спартак Нч;1 : 0
;Химки;Кубань;2 : 2
;Динамо;ЦСКА;1 : 2
;Терек;Амкар;2 : 2
;Зенит;Крылья Советов;2 : 0
;ФК Москва;Локомотив;0 : 0
;Рубин;Томь;4 : 0
;Спартак;Cатурн;4 : 0
;Спартак Нч;Химки;0 : 0
;Кубань;Ростов;0 : 0
;Амкар;Рубин;2 : 2
;Локомотив;Терек;4 : 0
;Ростов;Спартак Нч;1 : 1
;Химки;ФК Москва;1 : 1
;Томь;Спартак;1 : 1
;Крылья Советов;Кубань;1 : 0
;Cатурн;Динамо;0 : 0
;ЦСКА;Зенит;2 : 1
;Cатурн;Томь;0 : 0
;Спартак;Амкар;5 : 1
;Терек;Химки;2 : 0
;Рубин;Локомотив;2 : 0
;Динамо;Зенит;1 : 0
;ФК Москва;Ростов;2 : 0
;Спартак Нч;Крылья Советов;0 : 1
;Кубань;ЦСКА;1 : 0
;Амкар;Cатурн;0 : 2
;Томь;Динамо;2 : 3
;Ростов;Терек;1 : 1
;Локомотив;Спартак;2 : 1
;Зенит;Кубань;2 : 0
;Крылья Советов;ФК Москва;1 : 1
;Химки;Рубин;2 : 3
;ЦСКА;Спартак Нч;0 : 0
;Рубин;Ростов;0 : 2
;Спартак;Химки;1 : 0
;Динамо;Кубань;1 : 1
;Терек;Крылья Советов;3 : 2
;Томь;Амкар;1 : 2
;ФК Москва;ЦСКА;2 : 0
;Cатурн;Локомотив;2 : 0
;Спартак Нч;Зенит;2 : 2
;Химки;Cатурн;1 : 0
;Амкар;Динамо;3 : 1
;Крылья Советов;Рубин;1 : 2
;Терек;ЦСКА;1 : 1
;Ростов;Спартак;0 : 1
;Зенит;ФК Москва;1 : 0
;Локомотив;Томь;0 : 0
;Кубань;Спартак Нч;2 : 2
;Рубин;ЦСКА;1 : 2
;Динамо;Спартак Нч;2 : 1
;Cатурн;Ростов;4 : 0
;Томь;Химки;4 : 0
;Спартак;Крылья Советов;1 : 1
;Амкар;Локомотив;1 : 1
;ФК Москва;Кубань;4 : 1
;Терек;Зенит;3 : 2
;Химки;Амкар;2 : 0
;Крылья Советов;Cатурн;0 : 2
;Локомотив;Динамо;1 : 1
;Зенит;Рубин;0 : 0
;Ростов;Томь;0 : 0
;ЦСКА;Спартак;1 : 2
;Спартак Нч;ФК Москва;0 : 0
