Column1;Команда №1;Команда №2;Счёт
;Ростсельмаш;Уралмаш;2 : 1
;Зенит;Торпедо-Лужники;0 : 0
;Спартак-Алания;КАМАЗ-Чаллы;3 : 0
;Ротор;Энергия-Текстильщик;0 : 0
;ЦСКА;Лада;3 : 1
;Черноморец;Крылья Советов;0 : 1
;Локомотив;Локомотив НН;0 : 0
;Балтика;Спартак;1 : 0
;Жемчужина;Динамо;1 : 3
;Локомотив;Спартак;0 : 2
;Зенит;Уралмаш;1 : 0
;Жемчужина;Ростсельмаш;3 : 3
;Спартак-Алания;Торпедо-Лужники;4 : 1
;Балтика;Динамо;0 : 0
;Черноморец;КАМАЗ-Чаллы;4 : 1
;Ротор;Крылья Советов;1 : 1
;ЦСКА;Локомотив НН;2 : 0
;Лада;Энергия-Текстильщик;1 : 1
;Торпедо-Лужники;Жемчужина;1 : 0
;Ростсельмаш;Зенит;2 : 0
;Энергия-Текстильщик;ЦСКА;1 : 2
;Локомотив НН;Ротор;0 : 0
;Крылья Советов;Локомотив;1 : 0
;Спартак;Черноморец;1 : 0
;КАМАЗ-Чаллы;Балтика;0 : 0
;Уралмаш;Лада;0 : 0
;Динамо;Спартак-Алания;1 : 1
;Торпедо-Лужники;Ростсельмаш;0 : 0
;Энергия-Текстильщик;Локомотив;0 : 0
;Локомотив НН;Черноморец;2 : 0
;Крылья Советов;Балтика;3 : 1
;Спартак;Спартак-Алания;4 : 1
;КАМАЗ-Чаллы;Жемчужина;4 : 0
;Уралмаш;ЦСКА;0 : 1
;Лада;Ротор;1 : 4
;Динамо;Зенит;1 : 0
;Торпедо-Лужники;Балтика;2 : 2
;Ростсельмаш;Алания;1 : 2
;Зенит;Жемчужина;2 : 0
;Локомотив НН;Лада;1 : 0
;Крылья Советов;ЦСКА;1 : 0
;КАМАЗ-Чаллы;Локомотив;0 : 0
;Уралмаш;Энергия-Текстильщик;0 : 0
;Спартак;Ротор;2 : 0
;Динамо;Черноморец;1 : 1
;Жемчужина;Уралмаш;3 : 2
;Алания;Зенит;3 : 1
;Балтика;Ростсельмаш;0 : 0
;Черноморец;Торпедо-Лужники;0 : 1
;Ротор;КАМАЗ-Чаллы;3 : 1
;ЦСКА;Спартак;0 : 0
;Лада;Крылья Советов;0 : 0
;Энергия-Текстильщик;Локомотив НН;2 : 1
;Локомотив;Динамо;0 : 0
;Зенит;Балтика;2 : 2
;Жемчужина;Алания;0 : 0
;Крылья Советов;Энергия-Текстильщик;1 : 0
;Спартак;Лада;1 : 0
;КАМАЗ-Чаллы;ЦСКА;0 : 2
;Уралмаш;Локомотив НН;3 : 0
;Торпедо-Лужники;Локомотив;1 : 2
;Ростсельмаш;Черноморец;4 : 0
;Динамо;Ротор;0 : 1
;Алания;Уралмаш;3 : 0
;Балтика;Жемчужина;2 : 0
;Черноморец;Зенит;0 : 2
;Локомотив;Ростсельмаш;2 : 1
;Ротор;Торпедо-Лужники;2 : 2
;ЦСКА;Динамо;1 : 1
;Лада;КАМАЗ-Чаллы;1 : 0
;Энергия-Текстильщик;Спартак;1 : 1
;Локомотив НН;Крылья Советов;1 : 0
;Торпедо-Лужники;ЦСКА;2 : 3
;Зенит;Локомотив;1 : 1
;Жемчужина;Черноморец;1 : 0
;Алания;Балтика;4 : 0
;Спартак;Локомотив НН;4 : 0
;КАМАЗ-Чаллы;Энергия-Текстильщик;1 : 0
;Динамо;Лада;4 : 0
;Уралмаш;Крылья Советов;1 : 1
;Ростсельмаш;Ротор;0 : 2
;Балтика;Уралмаш;2 : 0
;Черноморец;Алания;1 : 2
;Локомотив;Жемчужина;2 : 1
;Ротор;Зенит;1 : 0
;ЦСКА;Ростсельмаш;4 : 2
;Лада;Торпедо-Лужники;0 : 2
;Энергия-Текстильщик;Динамо;0 : 0
;Локомотив НН;КАМАЗ-Чаллы;2 : 1
;Крылья Советов;Спартак;1 : 1
;Торпедо-Лужники;Энергия-Текстильщик;2 : 1
;Ростсельмаш;Лада;2 : 1
;Зенит;ЦСКА;1 : 1
;Жемчужина;Ротор;0 : 0
;Алания;Локомотив;1 : 0
;Балтика;Черноморец;2 : 2
